ID_plato,Nombre,Descripcion,id_chef
1,Filete de ternera,"Filete de ternera a la parrilla con guarnición de verduras",5
2,Chuletas de cerdo,"Chuletas de cerdo a la parrilla con puré de patatas",5
3,Pollo asado,"Pollo entero asado con patatas y salsa",5
4,Lomo de cerdo,"Lomo de cerdo al horno con salsa de ciruela",5
5,Hamburguesa de res,"Hamburguesa de carne de res con queso, lechuga, tomate y cebolla",5
6,Entrecot,"Entrecot a la parrilla con patatas fritas y salsa chimichurri",5
7,Churrasco,"Churrasco argentino con chimichurri y papas fritas",5
8,Pechuga de pollo,"Pechuga de pollo a la plancha con arroz y ensalada",5
9,Bife de chorizo,"Bife de chorizo con papas al horno y ensalada mixta",5
10,Parrillada mixta,"Parrillada mixta de carnes con chorizo, morcilla y entraña",5
11,Filete de avestruz,"Filete de avestruz a la parrilla con puré de batata",5
12,Medallones de canguro,"Medallones de canguro con salsa de frutos rojos",5
13,Pinchos de caimán,"Pinchos de caimán a la parrilla con salsa picante",5
14,Carne de cebra asada,"Carne de cebra asada con patatas bravas",5
15,Búfalo a la parrilla,"Búfalo a la parrilla con salsa barbacoa y maíz",5
16,Filete de ñandú,"Filete de ñandú a la parrilla con ensalada de quinoa",5
